날짜,시가,고가,저가,종가,거래량,등락률,MA20,MA60,MA120
2023-09-07,70000,70600,69600,70400,13741241,0.571,,,
2023-09-08,70200,70300,69600,70300,10688118,-0.142,,,
2023-09-11,70400,70800,70000,70800,11785462,0.711,,,
2023-09-12,70800,71000,70400,70500,11688599,-0.424,,,
2023-09-13,71100,71600,70300,70900,15955797,0.567,,,
2023-09-14,71200,71800,70800,71700,21041407,1.128,,,
2023-09-15,71700,72300,71400,72000,17823512,0.418,,,
2023-09-18,71300,71700,70200,70200,16040727,-2.5,,,
2023-09-19,70400,70800,69600,69800,11820188,-0.57,,,
2023-09-20,70000,70300,69500,69600,10873015,-0.287,,,
2023-09-21,69200,69800,68800,68900,10796336,-1.006,,,
2023-09-22,68300,68900,68300,68800,9897840,-0.145,,,
2023-09-25,68500,69700,68500,69400,13582516,0.872,,,
2023-09-26,70000,70000,68400,68600,13143470,-1.153,,,
2023-09-27,68600,69100,68200,68400,14886491,-0.292,,,
2023-10-04,67400,67700,66700,67500,23361149,-1.316,,,
2023-10-05,67300,67400,66700,66700,16108313,-1.185,,,
2023-10-06,67100,67300,66000,66000,14386527,-1.049,,,
2023-10-10,66200,67600,66200,66400,19889202,0.606,,,
2023-10-11,68600,69400,67900,68200,25209349,2.711,69255.0,,
2023-10-12,68600,69700,68200,68900,19311380,1.026,69180.0,,
2023-10-13,68000,68500,67700,68000,9724086,-1.306,69065.0,,
2023-10-16,67900,68500,66800,67300,12599299,-1.029,68890.0,,
2023-10-17,67700,69900,67400,69400,17299253,3.12,68835.0,,
2023-10-18,68900,70500,68800,70500,16493184,1.585,68815.0,,
2023-10-19,69700,70000,69400,69500,13985012,-1.418,68705.0,,
2023-10-20,68900,69200,68100,68800,15204495,-1.007,68545.0,,
2023-10-23,68700,69100,68200,68400,11625959,-0.581,68455.0,,
2023-10-24,68700,68800,67700,68500,12791710,0.146,68390.0,,
2023-10-25,68800,68800,67900,68000,10610703,-0.73,68310.0,,
2023-10-26,67000,67900,66700,66700,15517624,-1.912,68200.0,,
2023-10-27,67100,67300,66700,67300,11334726,0.9,68125.0,,
2023-10-30,66800,67800,66700,67300,10139270,0.0,68020.0,,
2023-10-31,67600,68300,66900,66900,14488892,-0.594,67935.0,,
2023-11-01,67500,68900,67300,68600,13775256,2.541,67945.0,,
2023-11-02,70000,70000,69400,69700,16350031,1.603,68055.0,,
2023-11-03,69700,70200,69500,69600,10322234,-0.143,68200.0,,
2023-11-06,69800,70900,69300,70900,22228489,1.868,68445.0,,
2023-11-07,70600,70900,70000,70900,17228731,0.0,68670.0,,
2023-11-08,71300,71400,69700,69900,12901310,-1.41,68755.0,,
2023-11-09,69900,70800,69600,70300,12301373,0.572,68825.0,,
2023-11-10,70000,70500,69500,70500,9684347,0.284,68950.0,,
2023-11-13,71300,71300,70300,70400,9246919,-0.142,69105.0,,
2023-11-14,71000,71100,70600,70800,9567984,0.568,69175.0,,
2023-11-15,71600,72200,71500,72200,20148677,1.977,69260.0,,
2023-11-16,72500,73000,72300,72800,15860451,0.831,69425.0,,
2023-11-17,72300,73000,72300,72500,11494644,-0.412,69610.0,,
2023-11-20,72100,73000,72100,72700,10610157,0.276,69825.0,,
2023-11-21,73100,73400,72700,72800,9712881,0.138,70040.0,,
2023-11-22,72200,73000,71900,72800,11105143,0.0,70280.0,,
2023-11-23,73000,73200,72200,72400,6775614,-0.549,70565.0,,
2023-11-24,72400,72600,71700,71700,6676685,-0.967,70785.0,,
2023-11-27,71500,72100,71100,71300,9113857,-0.558,70985.0,,
2023-11-28,71400,72700,71300,72700,13283081,1.964,71275.0,,
2023-11-29,72400,72800,72200,72700,9283933,0.0,71480.0,,
2023-11-30,72700,72800,72200,72800,15783714,0.138,71635.0,,
2023-12-01,72400,72500,71700,72000,9871284,-1.099,71755.0,,
2023-12-04,72800,72900,72400,72600,10229267,0.833,71840.0,,
2023-12-05,72300,72400,71200,71200,12129682,-1.928,71855.0,,
2023-12-06,71800,72100,71600,71700,8123087,0.702,71945.0,69985.0,
2023-12-07,71800,71900,71100,71500,8862017,-0.279,72005.0,70003.333,
2023-12-08,72100,72800,71900,72600,10859463,1.538,72110.0,70041.667,
2023-12-11,72800,73000,72200,73000,9861960,0.551,72240.0,70078.333,
2023-12-12,73300,73500,73100,73500,13758646,0.685,72375.0,70128.333,
2023-12-13,73300,73500,72800,72800,13116766,-0.952,72405.0,70160.0,
2023-12-14,74100,74300,72500,73100,27567593,0.412,72420.0,70183.333,
2023-12-15,73800,74000,73200,73300,15419815,0.274,72460.0,70205.0,
2023-12-18,73300,73400,72800,72900,9690551,-0.546,72470.0,70250.0,
2023-12-19,73000,73400,72800,73400,8907632,0.686,72500.0,70310.0,
2023-12-20,74200,74900,73800,74800,16870156,1.907,72600.0,70396.667,
2023-12-21,74600,75000,74300,75000,13478766,0.267,72730.0,70498.333,
2023-12-22,75800,76300,75400,75900,14515608,1.2,72940.0,70616.667,
2023-12-26,76100,76700,75700,76600,13164909,0.922,73205.0,70736.667,
2023-12-27,76700,78000,76500,78000,20651042,1.828,73470.0,70893.333,
2023-12-28,77700,78500,77500,78500,17797536,0.641,73760.0,71061.667,
2024-01-02,78200,79800,78200,79600,17142847,1.401,74100.0,71263.333,
2024-01-03,78500,78800,77000,77000,21753644,-3.266,74350.0,71435.0,
2024-01-04,76100,77300,76100,76600,15324439,-0.519,74550.0,71611.667,
2024-01-05,76700,77100,76400,76600,11304316,0.0,74820.0,71781.667,
2024-01-08,77000,77500,76400,76500,11088724,-0.131,75060.0,71920.0,
2024-01-09,77400,77700,74300,74700,26019249,-2.353,75220.0,72016.667,
2024-01-10,75000,75200,73200,73600,20259529,-1.473,75270.0,72110.0,
2024-01-11,72900,73600,72700,73200,57691266,-0.543,75280.0,72208.333,
2024-01-12,73000,74100,72800,73100,13038939,-0.137,75260.0,72270.0,
2024-01-15,73200,74000,73200,73900,13212339,1.094,75315.0,72326.667,
2024-01-16,73500,73700,72500,72600,14760415,-1.759,75290.0,72378.333,
2024-01-17,73100,73300,71000,71000,22683660,-2.204,75175.0,72415.0,
2024-01-18,71600,72000,70700,71700,17853397,0.986,75115.0,72470.0,
2024-01-19,73500,74700,73000,74700,23363427,4.184,75180.0,72573.333,
2024-01-22,75900,76000,75000,75100,19673375,0.535,75195.0,72691.667,
2024-01-23,75700,75800,74300,75200,14786224,0.133,75205.0,72833.333,
2024-01-24,75200,75200,73500,74000,12860661,-1.596,75110.0,72945.0,
2024-01-25,74200,74800,73700,74100,11737747,0.135,74985.0,73058.333,
2024-01-26,73700,74500,73300,73400,11160062,-0.945,74755.0,73166.667,
2024-01-29,73800,75200,73500,74400,13976521,1.362,74550.0,73263.333,
2024-01-30,75000,75300,73700,74300,12244418,-0.134,74285.0,73340.0,
2024-01-31,73400,74000,72500,72700,15703560,-2.153,74070.0,73391.667,
2024-02-01,73000,74200,72900,73600,19881033,1.238,73920.0,73436.667,
2024-02-02,74000,75200,73700,75200,14955881,2.174,73850.0,73508.333,
2024-02-05,74200,74800,73500,74300,19026021,-1.197,73740.0,73581.667,
2024-02-06,74300,74700,73300,74400,14559254,0.135,73725.0,73650.0,
2024-02-07,74600,75500,74300,75000,16566445,0.806,73795.0,73725.0,
2024-02-08,75000,75200,73600,74100,20810708,-1.2,73840.0,73786.667,
